"","station_name","station_id","station_operator","prov","lat","lon","elev","climate_id","WMO_id","TC_id","date","year","month","day","qual","cool_deg_days","cool_deg_days_flag","dir_max_gust","dir_max_gust_flag","heat_deg_days","heat_deg_days_flag","max_temp","max_temp_flag","mean_temp","mean_temp_flag","min_temp","min_temp_flag","snow_grnd","snow_grnd_flag","spd_max_gust","spd_max_gust_flag","total_precip","total_precip_flag","total_rain","total_rain_flag","total_snow","total_snow_flag"
"1","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-11-01,"2017","11","01","",0,"",NA,"M",13.3,"",8.7,"",4.7,"",0.6,"",0,"T",NA,"M",0.6,"",NA,"M",NA,"M"
"2","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-11-02,"2017","11","02","",0,"",NA,"M",15.4,"",6.1,"",2.6,"",-0.9,"",1,"",NA,"M",14.6,"",NA,"M",NA,"M"
"3","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-11-03,"2017","11","03","",NA,"M",NA,"M",NA,"M",NA,"M",NA,"M",-4.1,"E",0,"T",NA,"M",NA,"M",NA,"M",NA,"M"
"4","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-11-04,"2017","11","04","",0,"",NA,"M",21.4,"",-1,"",-3.4,"",-5.8,"",0,"T",NA,"M",0,"",NA,"M",NA,"M"
"5","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-11-05,"2017","11","05","",NA,"M",NA,"M",NA,"M",NA,"M",NA,"M",-6.1,"E",0,"T",NA,"M",NA,"M",NA,"M",NA,"M"
"6","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-11-06,"2017","11","06","",NA,"M",NA,"M",NA,"M",NA,"M",NA,"M",NA,"M",0,"T",NA,"M",NA,"M",NA,"M",NA,"M"
"7","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-11-07,"2017","11","07","",0,"",NA,"M",22,"",0.8,"",-4,"",-8.7,"",0,"T",NA,"M",0,"",NA,"M",NA,"M"
"8","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-11-08,"2017","11","08","",0,"",NA,"M",16.4,"",4.3,"",1.6,"",-1.2,"",0,"T",NA,"M",0,"",NA,"M",NA,"M"
"9","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-11-09,"2017","11","09","",0,"",NA,"M",16,"",4.5,"",2,"",-0.5,"",0,"T",NA,"M",0,"T",NA,"M",NA,"M"
"10","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-11-10,"2017","11","10","",0,"",NA,"M",15.3,"",4.7,"",2.7,"",0.6,"",0,"T",NA,"M",0,"",NA,"M",NA,"M"
"11","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-11-11,"2017","11","11","",0,"",NA,"M",14.6,"",6.3,"",3.4,"",0.5,"",0,"T",NA,"M",0.9,"",NA,"M",NA,"M"
"12","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-11-12,"2017","11","12","",0,"",NA,"M",14.6,"",5.1,"",3.4,"",1.7,"",0,"T",NA,"M",9.6,"",NA,"M",NA,"M"
"13","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-11-13,"2017","11","13","",0,"",NA,"M",15.1,"",5.5,"",2.9,"",0.2,"",0,"T",NA,"M",21.2,"",NA,"M",NA,"M"
"14","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-11-14,"2017","11","14","",0,"",NA,"M",16.1,"",4,"",1.9,"",-0.3,"",0,"T",NA,"M",23.5,"",NA,"M",NA,"M"
"15","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-11-15,"2017","11","15","",0,"",NA,"M",14.4,"",5.2,"",3.6,"",2,"",0,"T",NA,"M",19.4,"",NA,"M",NA,"M"
"16","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-11-16,"2017","11","16","",0,"",NA,"M",14.3,"",6,"",3.7,"",1.4,"",0,"T",NA,"M",3,"",NA,"M",NA,"M"
"17","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-11-17,"2017","11","17","",0,"",NA,"M",14.3,"",5.9,"",3.7,"",1.5,"",0,"T",NA,"M",1.3,"",NA,"M",NA,"M"
"18","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-11-18,"2017","11","18","",0,"",NA,"M",13.9,"",6.9,"",4.1,"",1.3,"",0,"T",NA,"M",0.8,"",NA,"M",NA,"M"
"19","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-11-19,"2017","11","19","",0,"",NA,"M",15.7,"",4.3,"",2.3,"",0.2,"",0,"T",NA,"M",39.5,"",NA,"M",NA,"M"
"20","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-11-20,"2017","11","20","",0,"",NA,"M",17.1,"",2.1,"",0.9,"",-0.3,"",0,"T",NA,"M",0,"",NA,"M",NA,"M"
"21","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-11-21,"2017","11","21","",0,"",NA,"M",16.7,"",2.2,"",1.3,"",0.3,"",0,"T",NA,"M",22.5,"",NA,"M",NA,"M"
"22","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-11-22,"2017","11","22","",0,"",NA,"M",16.3,"",3.1,"",1.7,"",0.3,"",0,"T",NA,"M",33.5,"",NA,"M",NA,"M"
"23","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-11-23,"2017","11","23","",0,"",NA,"M",12,"",8.9,"",6,"",3,"",0,"T",NA,"M",8.6,"",NA,"M",NA,"M"
"24","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-11-24,"2017","11","24","",0,"",NA,"M",13.1,"",7.1,"",4.9,"",2.6,"",0,"T",NA,"M",0.2,"",NA,"M",NA,"M"
"25","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-11-25,"2017","11","25","",0,"",NA,"M",12.6,"",7.3,"",5.4,"",3.4,"",0,"T",NA,"M",3,"",NA,"M",NA,"M"
"26","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-11-26,"2017","11","26","",0,"",NA,"M",12.7,"",8.5,"",5.3,"",2.1,"",0,"T",NA,"M",21.1,"",NA,"M",NA,"M"
"27","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-11-27,"2017","11","27","",0,"",NA,"M",15.4,"",5.7,"",2.6,"",-0.6,"",0,"T",NA,"M",0,"T",NA,"M",NA,"M"
"28","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-11-28,"2017","11","28","",0,"",NA,"M",14.9,"",4.2,"",3.1,"",2,"",0,"T",NA,"M",7.8,"",NA,"M",NA,"M"
"29","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-11-29,"2017","11","29","",0,"",NA,"M",15.4,"",5.1,"",2.6,"",0.1,"",0,"T",NA,"M",0.2,"",NA,"M",NA,"M"
"30","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-11-30,"2017","11","30","",0,"",NA,"M",13.6,"",6.4,"",4.4,"",2.4,"",0,"T",NA,"M",0.7,"",NA,"M",NA,"M"
"31","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-12-01,"2017","12","01","",0,"",NA,"M",14.1,"",5.5,"",3.9,"",2.2,"",0,"T",NA,"M",7.7,"",NA,"M",NA,"M"
"32","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-12-02,"2017","12","02","",0,"",NA,"M",16,"",3.4,"",2,"",0.6,"",0,"T",NA,"M",4.9,"",NA,"M",NA,"M"
"33","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-12-03,"2017","12","03","",0,"",NA,"M",18.4,"",2.1,"",-0.4,"",-2.8,"",0,"T",NA,"M",0,"T",NA,"M",NA,"M"
"34","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-12-04,"2017","12","04","",0,"",NA,"M",19.9,"",0,"",-1.9,"",-3.8,"",0,"T",NA,"M",0,"",NA,"M",NA,"M"
"35","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-12-05,"2017","12","05","",0,"",NA,"M",20.9,"",-1.2,"",-2.9,"",-4.5,"",0,"T",NA,"M",0,"",NA,"M",NA,"M"
"36","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-12-06,"2017","12","06","",0,"",NA,"M",20.8,"",0,"",-2.8,"",-5.6,"",0,"T",NA,"M",0,"",NA,"M",NA,"M"
"37","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-12-07,"2017","12","07","",0,"",NA,"M",20.8,"",-0.6,"",-2.8,"",-4.9,"",0,"T",NA,"M",0,"",NA,"M",NA,"M"
"38","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-12-08,"2017","12","08","",0,"",NA,"M",19.6,"",0.4,"",-1.6,"",-3.5,"",0,"T",NA,"M",0.8,"",NA,"M",NA,"M"
"39","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-12-09,"2017","12","09","",0,"",NA,"M",19.8,"",-0.7,"",-1.8,"",-2.9,"",0,"T",NA,"M",0,"T",NA,"M",NA,"M"
"40","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-12-10,"2017","12","10","",0,"",NA,"M",19.2,"",1.3,"",-1.2,"",-3.7,"",0,"T",NA,"M",0,"",NA,"M",NA,"M"
"41","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-12-11,"2017","12","11","",0,"",NA,"M",18.4,"",1.1,"",-0.4,"",-1.8,"",0,"T",NA,"M",0,"",NA,"M",NA,"M"
"42","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-12-12,"2017","12","12","",0,"",NA,"M",18.2,"",0.7,"",-0.2,"",-1.1,"",0,"T",NA,"M",0,"",NA,"M",NA,"M"
"43","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-12-13,"2017","12","13","",0,"",NA,"M",18.3,"",0.8,"",-0.3,"",-1.4,"",0,"T",NA,"M",0,"",NA,"M",NA,"M"
"44","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-12-14,"2017","12","14","",0,"",NA,"M",17.8,"",1.3,"",0.2,"",-0.9,"",0,"T",NA,"M",0,"",NA,"M",NA,"M"
"45","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-12-15,"2017","12","15","",0,"",NA,"M",17.4,"",1.5,"",0.6,"",-0.4,"",0,"T",NA,"M",3.2,"",NA,"M",NA,"M"
"46","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-12-16,"2017","12","16","",0,"",NA,"M",17,"",1.8,"",1,"",0.2,"",0,"T",NA,"M",0.4,"",NA,"M",NA,"M"
"47","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-12-17,"2017","12","17","",0,"",NA,"M",17.1,"",1.5,"",0.9,"",0.2,"",0,"T",NA,"M",10,"",NA,"M",NA,"M"
"48","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-12-18,"2017","12","18","",0,"",NA,"M",17.2,"",1.4,"",0.8,"",0.1,"",0,"T",NA,"M",2.7,"",NA,"M",NA,"M"
"49","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-12-19,"2017","12","19","",0,"",NA,"M",16.4,"",3.1,"",1.6,"",0.1,"",0,"T",NA,"M",2.9,"",NA,"M",NA,"M"
"50","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-12-20,"2017","12","20","",0,"",NA,"M",21.4,"",0.2,"",-3.4,"",-6.9,"",0,"T",NA,"M",0,"",NA,"M",NA,"M"
"51","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-12-21,"2017","12","21","",0,"",NA,"M",23.7,"",-3.6,"",-5.7,"",-7.7,"",0,"T",NA,"M",0,"",NA,"M",NA,"M"
"52","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-12-22,"2017","12","22","",0,"",NA,"M",20.9,"",0,"",-2.9,"",-5.7,"",0,"T",NA,"M",0,"",NA,"M",NA,"M"
"53","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-12-23,"2017","12","23","",0,"",NA,"M",24.4,"",-2.8,"",-6.4,"",-10,"",0,"T",NA,"M",0,"",NA,"M",NA,"M"
"54","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-12-24,"2017","12","24","",0,"",NA,"M",26.2,"",-5.2,"",-8.2,"",-11.1,"",0,"T",NA,"M",0,"",NA,"M",NA,"M"
"55","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-12-25,"2017","12","25","",0,"",NA,"M",24,"",-4.2,"",-6,"",-7.7,"",0,"T",NA,"M",0,"",NA,"M",NA,"M"
"56","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-12-26,"2017","12","26","",0,"",NA,"M",25.3,"",-5.9,"",-7.3,"",-8.7,"",0,"T",NA,"M",0,"",NA,"M",NA,"M"
"57","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-12-27,"2017","12","27","",0,"",NA,"M",24.4,"",-4.9,"",-6.4,"",-7.8,"",0,"T",NA,"M",0.4,"",NA,"M",NA,"M"
"58","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-12-28,"2017","12","28","",0,"",NA,"M",23.9,"",-5.2,"",-5.9,"",-6.5,"",3,"",NA,"M",9.3,"",NA,"M",NA,"M"
"59","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-12-29,"2017","12","29","",0,"",NA,"M",23.8,"",-4.6,"",-5.8,"",-7,"",15,"",NA,"M",5.6,"",NA,"M",NA,"M"
"60","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-12-30,"2017","12","30","",0,"",NA,"M",25.6,"",-5.6,"",-7.6,"",-9.5,"",25,"",NA,"M",9.4,"",NA,"M",NA,"M"
"61","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2017-12-31,"2017","12","31","",0,"",NA,"M",27.4,"",-6.2,"",-9.4,"",-12.6,"",24,"",NA,"M",0,"",NA,"M",NA,"M"
"62","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2018-01-01,"2018","01","01","",0,"",NA,"M",27.9,"",-5.6,"",-9.9,"",-14.2,"",21,"",NA,"M",0,"",NA,"M",NA,"M"
"63","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2018-01-02,"2018","01","02","",0,"",NA,"M",26.7,"",-4.1,"",-8.7,"",-13.2,"",18,"",NA,"M",0,"",NA,"M",NA,"M"
"64","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2018-01-03,"2018","01","03","",0,"",NA,"M",24.1,"",-2.8,"",-6.1,"",-9.4,"",17,"",NA,"M",0,"",NA,"M",NA,"M"
"65","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2018-01-04,"2018","01","04","",0,"",NA,"M",23.8,"",-1.5,"",-5.8,"",-10.1,"",15,"",NA,"M",0,"",NA,"M",NA,"M"
"66","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2018-01-05,"2018","01","05","",0,"",NA,"M",19.3,"",0.5,"",-1.3,"",-3.1,"",14,"",NA,"M",3.4,"",NA,"M",NA,"M"
"67","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2018-01-06,"2018","01","06","",0,"",NA,"M",17,"",1.8,"",1,"",0.1,"",12,"",NA,"M",0.7,"",NA,"M",NA,"M"
"68","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2018-01-07,"2018","01","07","",0,"",NA,"M",16.2,"",3.4,"",1.8,"",0.1,"",11,"",NA,"M",8.2,"",NA,"M",NA,"M"
"69","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2018-01-08,"2018","01","08","",0,"",NA,"M",16.8,"",2.2,"",1.2,"",0.1,"",9,"",NA,"M",3.7,"",NA,"M",NA,"M"
"70","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2018-01-09,"2018","01","09","",0,"",NA,"M",16.7,"",2.5,"",1.3,"",0.1,"",8,"",NA,"M",6.4,"",NA,"M",NA,"M"
"71","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2018-01-10,"2018","01","10","",0,"",NA,"M",17.7,"",1.5,"",0.3,"",-0.9,"",8,"",NA,"M",0.2,"",NA,"M",NA,"M"
"72","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2018-01-11,"2018","01","11","",0,"",NA,"M",21.4,"",-0.8,"",-3.4,"",-6,"",8,"",NA,"M",0,"",NA,"M",NA,"M"
"73","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2018-01-12,"2018","01","12","",0,"",NA,"M",23.9,"",-4.3,"",-5.9,"",-7.4,"",8,"",NA,"M",4.9,"",NA,"M",NA,"M"
"74","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2018-01-13,"2018","01","13","",0,"",NA,"M",20.7,"",-0.3,"",-2.7,"",-5,"",13,"",NA,"M",2.9,"",NA,"M",NA,"M"
"75","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2018-01-14,"2018","01","14","",0,"",NA,"M",19.2,"",3.8,"",-1.2,"",-6.2,"",13,"",NA,"M",0,"",NA,"M",NA,"M"
"76","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2018-01-15,"2018","01","15","",0,"",NA,"M",17.6,"",4,"",0.4,"",-3.2,"",13,"",NA,"M",0,"",NA,"M",NA,"M"
"77","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2018-01-16,"2018","01","16","",0,"",NA,"M",17.5,"",2.4,"",0.5,"",-1.4,"",13,"",NA,"M",7.1,"",NA,"M",NA,"M"
"78","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2018-01-17,"2018","01","17","",0,"",NA,"M",16.3,"",3.1,"",1.7,"",0.3,"",11,"",NA,"M",11.1,"",NA,"M",NA,"M"
"79","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2018-01-18,"2018","01","18","",0,"",NA,"M",15.3,"",4.7,"",2.7,"",0.6,"",9,"",NA,"M",5.9,"",NA,"M",NA,"M"
"80","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2018-01-19,"2018","01","19","",0,"",NA,"M",15.2,"",5.6,"",2.8,"",-0.1,"",9,"",NA,"M",0.4,"",NA,"M",NA,"M"
"81","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2018-01-20,"2018","01","20","",0,"",NA,"M",15.4,"",5.1,"",2.6,"",0,"",9,"",NA,"M",1.6,"",NA,"M",NA,"M"
"82","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2018-01-21,"2018","01","21","",0,"",NA,"M",15.4,"",4,"",2.6,"",1.2,"",8,"",NA,"M",21.9,"",NA,"M",NA,"M"
"83","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2018-01-22,"2018","01","22","",0,"",NA,"M",16.1,"",4,"",1.9,"",-0.3,"",7,"",NA,"M",1.2,"",NA,"M",NA,"M"
"84","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2018-01-23,"2018","01","23","",0,"",NA,"M",17.2,"",2.1,"",0.8,"",-0.5,"",7,"",NA,"M",4.6,"",NA,"M",NA,"M"
"85","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2018-01-24,"2018","01","24","",0,"",NA,"M",17.3,"",1.4,"",0.7,"",0,"",7,"",NA,"M",14,"",NA,"M",NA,"M"
"86","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2018-01-25,"2018","01","25","",0,"",NA,"M",16.4,"",3.3,"",1.6,"",-0.1,"",13,"",NA,"M",4.8,"",NA,"M",NA,"M"
"87","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2018-01-26,"2018","01","26","",0,"",NA,"M",17,"",2.7,"",1,"",-0.7,"",12,"",NA,"M",3.5,"",NA,"M",NA,"M"
"88","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2018-01-27,"2018","01","27","",0,"",NA,"M",17.4,"",1.5,"",0.6,"",-0.4,"",13,"",NA,"M",5.1,"",NA,"M",NA,"M"
"89","PEMBERTON AIRPORT CS",536,NA,"BC",50.31,-122.73,204.3,"1086082","71777","WGP",2018-01-28,"2018","01","28","",0,"",NA,"M",17.2,"",1.6,"",0.8,"",-0.1,"",16,"",NA,"M",16.3,"",NA,"M",NA,"M"
